,Property,Image1,Image2,contrast11,contrast12,contrast13,contrast14,contrast_avg1,contrast21,contrast22,contrast23,contrast24,contrast_avg2,dissimilarity11,dissimilarity12,dissimilarity13,dissimilarity14,dissimilarity_avg1,dissimilarity21,dissimilarity22,dissimilarity23,dissimilarity24,dissimilarity_avg2,homogeneity11,homogeneity12,homogeneity13,homogeneity14,homogeneity_avg1,homogeneity21,homogeneity22,homogeneity23,homogeneity24,homogeneity_avg_2,energy_feature11,energy_feature12,energy_feature13,energy_feature14,energy_feature_avg1,energy_feature21,energy_feature22,energy_feature23,energy_feature24,energy_feature_avg2,correlation_feature11,correlation_feature12,correlation_feature13,correlation_feature14,correlation_feature_avg1,correlation_feature21,correlation_feature22,correlation_feature23,correlation_feature24,correlation_feature_avg2,asm_feature11,asm_feature12,asm_feature13,asm_feature14,asm_feature_avg1,asm_feature21,asm_feature22,asm_feature23,asm_feature24,asm_feature_avg2,PIQ_DISTS,Cosine similarity,td_b7,vents_count_1,vents_count_2,common_vents_count,similarity_ratio,label
0,20400,2018-12-25_1.jpeg,2019-01-25_2.jpeg,1.21,1.95,1.02,1.82,1.50,1.21,1.95,1.02,1.82,1.50,0.40,0.54,0.37,0.52,0.46,0.40,0.54,0.37,0.52,0.46,0.85,0.82,0.86,0.82,0.84,0.85,0.82,0.86,0.82,0.84,0.44,0.43,0.44,0.43,0.43,0.44,0.43,0.44,0.43,0.43,0.96,0.94,0.97,0.94,0.95,0.96,0.94,0.97,0.94,0.95,0.19,0.18,0.20,0.18,0.19,0.19,0.18,0.20,0.18,0.19,0.00,1.00,7.00,8.00,8.00,8.00,1.00,N
1,20400,2019-01-25_2.jpeg,2019-02-25_3.jpeg,1.21,1.95,1.02,1.82,1.50,1.21,1.95,1.02,1.82,1.50,0.40,0.54,0.37,0.52,0.46,0.40,0.54,0.37,0.52,0.46,0.85,0.82,0.86,0.82,0.84,0.85,0.82,0.86,0.82,0.84,0.44,0.43,0.44,0.43,0.43,0.44,0.43,0.44,0.43,0.43,0.96,0.94,0.97,0.94,0.95,0.96,0.94,0.97,0.94,0.95,0.19,0.18,0.20,0.18,0.19,0.19,0.18,0.20,0.18,0.19,0.00,1.00,7.00,8.00,8.00,8.00,1.00,N
2,20400,2019-02-25_3.jpeg,2019-03-25_4.jpeg,1.21,1.95,1.02,1.82,1.50,1.21,1.95,1.02,1.82,1.50,0.40,0.54,0.37,0.52,0.46,0.40,0.54,0.37,0.52,0.46,0.85,0.82,0.86,0.82,0.84,0.85,0.82,0.86,0.82,0.84,0.44,0.43,0.44,0.43,0.43,0.44,0.43,0.44,0.43,0.43,0.96,0.94,0.97,0.94,0.95,0.96,0.94,0.97,0.94,0.95,0.19,0.18,0.20,0.18,0.19,0.19,0.18,0.20,0.18,0.19,0.00,1.00,7.00,8.00,8.00,8.00,1.00,N
3,20400,2019-03-25_4.jpeg,2019-04-25_5.jpeg,1.21,1.95,1.02,1.82,1.50,2.06,3.52,1.95,3.29,2.71,0.40,0.54,0.37,0.52,0.46,0.64,0.89,0.64,0.86,0.76,0.85,0.82,0.86,0.82,0.84,0.77,0.72,0.77,0.72,0.75,0.44,0.43,0.44,0.43,0.43,0.41,0.40,0.41,0.40,0.41,0.96,0.94,0.97,0.94,0.95,0.95,0.91,0.95,0.91,0.93,0.19,0.18,0.20,0.18,0.19,0.17,0.16,0.17,0.16,0.17,0.18,0.61,4.04,8.00,5.00,4.00,0.50,N
4,20400,2019-04-25_5.jpeg,2019-05-25_6.jpeg,2.06,3.52,1.95,3.29,2.71,2.06,3.52,1.95,3.29,2.71,0.64,0.89,0.64,0.86,0.76,0.64,0.89,0.64,0.86,0.76,0.77,0.72,0.77,0.72,0.75,0.77,0.72,0.77,0.72,0.75,0.41,0.40,0.41,0.40,0.41,0.41,0.40,0.41,0.40,0.41,0.95,0.91,0.95,0.91,0.93,0.95,0.91,0.95,0.91,0.93,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.17,0.16,0.17,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
5,20400,2019-05-25_6.jpeg,2019-06-25_7.jpeg,2.06,3.52,1.95,3.29,2.71,2.06,3.52,1.95,3.29,2.71,0.64,0.89,0.64,0.86,0.76,0.64,0.89,0.64,0.86,0.76,0.77,0.72,0.77,0.72,0.75,0.77,0.72,0.77,0.72,0.75,0.41,0.40,0.41,0.40,0.41,0.41,0.40,0.41,0.40,0.41,0.95,0.91,0.95,0.91,0.93,0.95,0.91,0.95,0.91,0.93,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.17,0.16,0.17,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
6,20400,2019-06-25_7.jpeg,2019-07-25_8.jpeg,2.06,3.52,1.95,3.29,2.71,2.06,3.52,1.95,3.29,2.71,0.64,0.89,0.64,0.86,0.76,0.64,0.89,0.64,0.86,0.76,0.77,0.72,0.77,0.72,0.75,0.77,0.72,0.77,0.72,0.75,0.41,0.40,0.41,0.40,0.41,0.41,0.40,0.41,0.40,0.41,0.95,0.91,0.95,0.91,0.93,0.95,0.91,0.95,0.91,0.93,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.17,0.16,0.17,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
7,20400,2019-07-25_8.jpeg,2019-08-25_9.jpeg,2.06,3.52,1.95,3.29,2.71,1.79,2.73,1.37,2.53,2.10,0.64,0.89,0.64,0.86,0.76,0.51,0.65,0.46,0.63,0.56,0.77,0.72,0.77,0.72,0.75,0.83,0.80,0.83,0.80,0.81,0.41,0.40,0.41,0.40,0.41,0.42,0.41,0.42,0.41,0.41,0.95,0.91,0.95,0.91,0.93,0.97,0.95,0.97,0.95,0.96,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.18,0.63,4.30,5.00,8.00,4.00,0.50,Y
8,20400,2019-08-25_9.jpeg,2019-09-25_10.jpeg,1.79,2.73,1.37,2.53,2.10,1.79,2.73,1.37,2.53,2.10,0.51,0.65,0.46,0.63,0.56,0.51,0.65,0.46,0.63,0.56,0.83,0.80,0.83,0.80,0.81,0.83,0.80,0.83,0.80,0.81,0.42,0.41,0.42,0.41,0.41,0.42,0.41,0.42,0.41,0.41,0.97,0.95,0.97,0.95,0.96,0.97,0.95,0.97,0.95,0.96,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.00,1.00,7.00,8.00,8.00,8.00,1.00,N
9,20400,2019-09-25_10.jpeg,2019-10-25_11.jpeg,1.79,2.73,1.37,2.53,2.10,1.79,2.73,1.37,2.53,2.10,0.51,0.65,0.46,0.63,0.56,0.51,0.65,0.46,0.63,0.56,0.83,0.80,0.83,0.80,0.81,0.83,0.80,0.83,0.80,0.81,0.42,0.41,0.42,0.41,0.41,0.42,0.41,0.42,0.41,0.41,0.97,0.95,0.97,0.95,0.96,0.97,0.95,0.97,0.95,0.96,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.00,1.00,7.00,8.00,8.00,8.00,1.00,N
10,20400,2019-10-25_11.jpeg,2019-11-25_12.jpeg,1.79,2.73,1.37,2.53,2.10,1.79,2.73,1.37,2.53,2.10,0.51,0.65,0.46,0.63,0.56,0.51,0.65,0.46,0.63,0.56,0.83,0.80,0.83,0.80,0.81,0.83,0.80,0.83,0.80,0.81,0.42,0.41,0.42,0.41,0.41,0.42,0.41,0.42,0.41,0.41,0.97,0.95,0.97,0.95,0.96,0.97,0.95,0.97,0.95,0.96,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.00,1.00,7.00,8.00,8.00,8.00,1.00,N
11,20400,2019-11-25_12.jpeg,2019-12-25_13.jpeg,1.79,2.73,1.37,2.53,2.10,1.79,2.73,1.37,2.53,2.10,0.51,0.65,0.46,0.63,0.56,0.51,0.65,0.46,0.63,0.56,0.83,0.80,0.83,0.80,0.81,0.83,0.80,0.83,0.80,0.81,0.42,0.41,0.42,0.41,0.41,0.42,0.41,0.42,0.41,0.41,0.97,0.95,0.97,0.95,0.96,0.97,0.95,0.97,0.95,0.96,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.00,1.00,7.00,8.00,8.00,8.00,1.00,N
