,Property,Image1,Image2,contrast11,contrast12,contrast13,contrast14,contrast_avg1,contrast21,contrast22,contrast23,contrast24,contrast_avg2,dissimilarity11,dissimilarity12,dissimilarity13,dissimilarity14,dissimilarity_avg1,dissimilarity21,dissimilarity22,dissimilarity23,dissimilarity24,dissimilarity_avg2,homogeneity11,homogeneity12,homogeneity13,homogeneity14,homogeneity_avg1,homogeneity21,homogeneity22,homogeneity23,homogeneity24,homogeneity_avg_2,energy_feature11,energy_feature12,energy_feature13,energy_feature14,energy_feature_avg1,energy_feature21,energy_feature22,energy_feature23,energy_feature24,energy_feature_avg2,correlation_feature11,correlation_feature12,correlation_feature13,correlation_feature14,correlation_feature_avg1,correlation_feature21,correlation_feature22,correlation_feature23,correlation_feature24,correlation_feature_avg2,asm_feature11,asm_feature12,asm_feature13,asm_feature14,asm_feature_avg1,asm_feature21,asm_feature22,asm_feature23,asm_feature24,asm_feature_avg2,ALEX_net,Cosine similarity,td_b7,vents_count_1,vents_count_2,common_vents_count,similarity_ratio,label
84,20009,2018-07-16_1.jpeg,2018-08-16_2.jpeg,1.58,3.28,1.83,2.89,2.39,1.58,3.28,1.83,2.89,2.39,0.43,0.71,0.48,0.66,0.57,0.43,0.71,0.48,0.66,0.57,0.85,0.77,0.83,0.78,0.81,0.85,0.77,0.83,0.78,0.81,0.28,0.25,0.27,0.26,0.26,0.28,0.25,0.27,0.26,0.26,0.97,0.94,0.97,0.94,0.95,0.97,0.94,0.97,0.94,0.95,0.08,0.06,0.07,0.07,0.07,0.08,0.06,0.07,0.07,0.07,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
85,20009,2018-08-16_2.jpeg,2018-09-16_3.jpeg,1.58,3.28,1.83,2.89,2.39,1.58,3.28,1.83,2.89,2.39,0.43,0.71,0.48,0.66,0.57,0.43,0.71,0.48,0.66,0.57,0.85,0.77,0.83,0.78,0.81,0.85,0.77,0.83,0.78,0.81,0.28,0.25,0.27,0.26,0.26,0.28,0.25,0.27,0.26,0.26,0.97,0.94,0.97,0.94,0.95,0.97,0.94,0.97,0.94,0.95,0.08,0.06,0.07,0.07,0.07,0.08,0.06,0.07,0.07,0.07,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
86,20009,2018-09-16_3.jpeg,2018-10-16_4.jpeg,1.58,3.28,1.83,2.89,2.39,1.58,3.28,1.83,2.89,2.39,0.43,0.71,0.48,0.66,0.57,0.43,0.71,0.48,0.66,0.57,0.85,0.77,0.83,0.78,0.81,0.85,0.77,0.83,0.78,0.81,0.28,0.25,0.27,0.26,0.26,0.28,0.25,0.27,0.26,0.26,0.97,0.94,0.97,0.94,0.95,0.97,0.94,0.97,0.94,0.95,0.08,0.06,0.07,0.07,0.07,0.08,0.06,0.07,0.07,0.07,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
87,20009,2018-10-16_4.jpeg,2018-11-16_5.jpeg,1.58,3.28,1.83,2.89,2.39,1.58,3.28,1.83,2.89,2.39,0.43,0.71,0.48,0.66,0.57,0.43,0.71,0.48,0.66,0.57,0.85,0.77,0.83,0.78,0.81,0.85,0.77,0.83,0.78,0.81,0.28,0.25,0.27,0.26,0.26,0.28,0.25,0.27,0.26,0.26,0.97,0.94,0.97,0.94,0.95,0.97,0.94,0.97,0.94,0.95,0.08,0.06,0.07,0.07,0.07,0.08,0.06,0.07,0.07,0.07,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
88,20009,2018-11-16_5.jpeg,2018-12-16_6.jpeg,1.58,3.28,1.83,2.89,2.39,1.58,3.28,1.83,2.89,2.39,0.43,0.71,0.48,0.66,0.57,0.43,0.71,0.48,0.66,0.57,0.85,0.77,0.83,0.78,0.81,0.85,0.77,0.83,0.78,0.81,0.28,0.25,0.27,0.26,0.26,0.28,0.25,0.27,0.26,0.26,0.97,0.94,0.97,0.94,0.95,0.97,0.94,0.97,0.94,0.95,0.08,0.06,0.07,0.07,0.07,0.08,0.06,0.07,0.07,0.07,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
89,20009,2018-12-16_6.jpeg,2019-01-16_7.jpeg,1.58,3.28,1.83,2.89,2.39,1.58,3.28,1.83,2.89,2.39,0.43,0.71,0.48,0.66,0.57,0.43,0.71,0.48,0.66,0.57,0.85,0.77,0.83,0.78,0.81,0.85,0.77,0.83,0.78,0.81,0.28,0.25,0.27,0.26,0.26,0.28,0.25,0.27,0.26,0.26,0.97,0.94,0.97,0.94,0.95,0.97,0.94,0.97,0.94,0.95,0.08,0.06,0.07,0.07,0.07,0.08,0.06,0.07,0.07,0.07,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
90,20009,2019-01-16_7.jpeg,2019-02-16_8.jpeg,1.58,3.28,1.83,2.89,2.39,1.58,3.28,1.83,2.89,2.39,0.43,0.71,0.48,0.66,0.57,0.43,0.71,0.48,0.66,0.57,0.85,0.77,0.83,0.78,0.81,0.85,0.77,0.83,0.78,0.81,0.28,0.25,0.27,0.26,0.26,0.28,0.25,0.27,0.26,0.26,0.97,0.94,0.97,0.94,0.95,0.97,0.94,0.97,0.94,0.95,0.08,0.06,0.07,0.07,0.07,0.08,0.06,0.07,0.07,0.07,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
91,20009,2019-02-16_8.jpeg,2019-03-16_9.jpeg,1.58,3.28,1.83,2.89,2.39,1.58,3.28,1.83,2.89,2.39,0.43,0.71,0.48,0.66,0.57,0.43,0.71,0.48,0.66,0.57,0.85,0.77,0.83,0.78,0.81,0.85,0.77,0.83,0.78,0.81,0.28,0.25,0.27,0.26,0.26,0.28,0.25,0.27,0.26,0.26,0.97,0.94,0.97,0.94,0.95,0.97,0.94,0.97,0.94,0.95,0.08,0.06,0.07,0.07,0.07,0.08,0.06,0.07,0.07,0.07,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
92,20009,2019-03-16_9.jpeg,2019-04-16_10.jpeg,1.58,3.28,1.83,2.89,2.39,1.99,4.03,2.22,3.70,2.98,0.43,0.71,0.48,0.66,0.57,0.45,0.71,0.45,0.70,0.58,0.85,0.77,0.83,0.78,0.81,0.85,0.80,0.85,0.80,0.82,0.28,0.25,0.27,0.26,0.26,0.34,0.32,0.34,0.32,0.33,0.97,0.94,0.97,0.94,0.95,0.97,0.94,0.96,0.94,0.95,0.08,0.06,0.07,0.07,0.07,0.12,0.10,0.12,0.10,0.11,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
93,20009,2019-04-16_10.jpeg,2019-05-16_11.jpeg,1.99,4.03,2.22,3.70,2.98,2.04,4.16,2.24,3.74,3.04,0.45,0.71,0.45,0.70,0.58,0.51,0.82,0.52,0.78,0.66,0.85,0.80,0.85,0.80,0.82,0.83,0.76,0.82,0.76,0.79,0.34,0.32,0.34,0.32,0.33,0.34,0.32,0.34,0.32,0.33,0.97,0.94,0.96,0.94,0.95,0.97,0.94,0.97,0.94,0.95,0.12,0.10,0.12,0.10,0.11,0.12,0.10,0.12,0.10,0.11,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
